City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,martuk,50.7475,56.5056,2.67,83,25,2.96,KZ,1729981866
128,northam,51.0333,-4.2167,11.45,93,5,3.52,GB,1729981868
129,jean-rabel,19.8533,-73.1917,26.71,85,99,7.46,HT,1729981869
130,temple,31.0982,-97.3428,31.88,38,0,3.09,US,1729981703
131,port lincoln,-34.7333,135.8667,17.16,70,0,5.45,AU,1729981871
132,yuxia,34.0615,108.6291,14.45,69,100,2.55,CN,1729981872
133,conception bay south,47.4999,-52.9981,9.3,91,83,4.63,CA,1729981989
134,huarmey,-10.0681,-78.1522,19.08,81,7,3.93,PE,1729982159
135,cidreira,-30.1811,-50.2056,16.1,64,0,6.17,BR,1729982160
136,vadso,70.0744,29.7487,3.09,81,49,6.17,NO,1729982161
137,porbandar,21.6422,69.6093,27.11,77,33,3.66,IN,1729982162
138,ribeira grande,38.5167,-28.7,19.87,75,38,4.02,PT,1729982163
139,luwuk,-0.9516,122.7875,26.16,61,50,1.27,ID,1729982165
140,porto de moz,-1.7483,-52.2383,31.72,44,73,3.95,BR,1729982166
141,bubaque,11.2833,-15.8333,28.12,77,84,4.5,GW,1729982167
142,fale old settlement,-9.3852,-171.2468,28.35,75,94,4.79,TK,1729982414
143,hondo,32.45,130.2,22.57,83,41,2.08,JP,1729982416
144,lebu,-37.6167,-73.65,11.67,83,5,9.26,CL,1729982417
145,acarau,-2.8856,-40.12,25.42,78,9,7.89,BR,1729982418
146,mount isa,-20.7333,139.5,27.87,13,20,2.06,AU,1729982419
147,utrik,11.2278,169.8474,28.67,78,89,6.57,MH,1729982420
148,susuman,62.7833,148.1667,-17.92,96,100,0.97,RU,1729982421
149,belyy yar,53.6039,91.3903,4.94,100,40,1.0,RU,1729982423
150,watertown,42.3709,-71.1828,14.44,35,0,5.66,US,1729982424
151,lata,40.1629,-8.3327,9.8,98,92,0.76,PT,1729982425
152,san antonio de pale,-1.4014,5.6325,25.1,85,100,5.04,GQ,1729982426
153,najran,17.4924,44.1277,20.72,46,87,4.36,SA,1729982427
154,sidhauli,27.2833,80.8333,23.12,69,0,1.76,IN,1729982429
155,abepura,-2.6333,140.5833,23.45,100,75,2.06,ID,1729982430
156,crane,31.3974,-102.3501,26.91,37,0,2.5,US,1729982431
157,fada,7.25,4.0667,22.22,96,89,0.29,NG,1729982432
158,parham,17.0968,-61.7705,27.83,77,40,2.57,AG,1729982433
159,nemuro,43.3236,145.575,9.7,65,100,4.58,JP,1729982434
160,coquimbo,-29.9533,-71.3436,14.85,74,20,5.14,CL,1729982435
161,tateyama,34.9833,139.8667,21.13,80,80,3.4,JP,1729982437
162,bengkulu,-3.8004,102.2655,23.9,86,24,1.45,ID,1729982438
163,hobyo,5.3505,48.5268,25.77,87,99,2.96,SO,1729982439
164,barra de santo antonio,-9.4047,-35.5072,24.88,83,30,5.44,BR,1729982440
165,egilsstadir,65.2653,-14.3948,2.95,70,75,3.09,IS,1729982441
166,papao,-17.75,-149.55,27.82,69,65,8.71,PF,1729982443
167,lyndon,38.2567,-85.6016,17.9,44,0,4.12,US,1729982444
168,nova sintra,14.8667,-24.7167,27.58,74,72,7.24,CV,1729982445
169,tarata,-17.6167,-66.0167,16.68,61,99,5.02,BO,1729982446
170,hermanus,-34.4187,19.2345,16.0,82,98,9.5,ZA,1729982447
171,malanje,-9.5402,16.341,18.77,97,53,2.69,AO,1729982448
172,avarua,-21.2078,-159.775,24.03,69,20,6.69,CK,1729982449
173,pangody,65.85,74.4859,-13.33,98,72,2.25,RU,1729982450
174,zheleznodorozhnyy,55.7503,38.0042,7.75,83,96,2.73,RU,1729982451
175,novaya ladoga,60.1025,32.3019,8.01,81,91,1.61,RU,1729982453
176,pisco,-13.7,-76.2167,21.03,64,40,3.6,PE,1729982454
177,galesong,-5.3166,119.3661,27.14,69,9,2.74,ID,1729982455
178,geraldton,-28.7667,114.6,12.23,87,0,4.63,AU,1729982159
179,colonia,50.9333,6.95,12.71,88,0,3.09,DE,1729982457
180,guiuan,11.0333,125.7247,27.56,79,100,12.62,PH,1729982458
