City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,sao vicente,-23.9631,-46.3919,24.97,33,100,5.14,BR,1730315728
118,plouzane,48.3833,-4.6167,13.03,93,0,3.6,FR,1730316024
119,paphos,34.7667,32.4167,19.88,37,6,1.54,CY,1730316026
120,bardai,11.65,7.2333,24.14,27,98,3.32,NG,1730316027
121,bontang,0.1333,117.5,26.96,82,100,2.28,ID,1730316028
122,barra do bugres,-15.0725,-57.1811,36.52,34,27,1.63,BR,1730316029
123,fort mcmurray,56.7268,-111.381,-2.23,74,100,2.57,CA,1730316031
124,kruisfontein,-34.0033,24.7314,13.07,92,0,2.12,ZA,1730316032
125,puerto natales,-51.7236,-72.4875,17.25,51,75,10.29,CL,1730316034
126,enewetak,11.3474,162.3373,28.52,76,100,6.24,MH,1730316035
127,vilyuchinsk,52.9306,158.4028,1.15,66,9,11.75,RU,1730316036
128,margaret river,-33.95,115.0667,12.1,95,21,4.4,AU,1730316039
129,nova sintra,14.8667,-24.7167,25.51,77,100,6.14,CV,1730316040
130,hilo,19.7297,-155.09,23.95,94,100,4.12,US,1730315849
131,korla,41.7597,86.1469,9.54,61,3,4.7,CN,1730316042
132,letterkenny,54.95,-7.7333,12.34,92,100,1.48,IE,1730316043
133,saint-joseph,-21.3667,55.6167,21.21,71,39,4.9,RE,1730315977
134,papao,-17.75,-149.55,26.82,76,68,8.26,PF,1730316045
135,port mathurin,-19.6833,63.4167,23.28,69,50,7.72,MU,1730316046
136,fang,19.9169,99.2145,20.74,97,21,0.47,TH,1730316048
137,severo-yeniseyskiy,60.3725,93.0408,-15.24,100,88,1.09,RU,1730316049
138,altai,46.3722,96.2583,-5.78,61,0,2.32,MN,1730316050
139,grand falls-windsor,48.9332,-55.6649,4.72,65,91,2.68,CA,1730316051
140,as sulayyil,20.4607,45.5779,25.68,32,1,4.06,SA,1730315922
141,college,64.8569,-147.8028,-17.03,78,20,0.0,US,1730316054
142,miranda,3.2499,-76.2281,25.05,73,100,1.06,CO,1730316056
143,hawaiian paradise park,19.5933,-154.9731,22.71,94,100,4.12,US,1730316057
144,menaka,15.9182,2.4022,31.98,11,100,3.53,ML,1730316058
145,saldanha,-33.0117,17.9442,17.03,79,2,8.37,ZA,1730316059
146,puerto deseado,-47.7503,-65.8938,20.77,36,91,6.11,AR,1730316060
147,galliano,29.4422,-90.2992,28.0,69,0,4.12,US,1730315902
148,la'ie,21.6477,-157.9253,26.17,76,11,4.92,US,1730316062
149,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,37,40,8.0,RU,1730316063
150,northam,51.0333,-4.2167,12.56,89,64,2.89,GB,1730315818
151,tazovsky,67.4667,78.7,-3.51,95,99,4.41,RU,1730316066
152,talcahuano,-36.7167,-73.1167,13.82,82,100,2.06,CL,1730316015
153,pimenta bueno,-11.6725,-61.1936,29.71,58,100,1.97,BR,1730316068
154,cabedelo,-6.9811,-34.8339,28.37,64,73,4.28,BR,1730316069
155,shingu,33.7333,135.9833,13.74,72,100,2.47,JP,1730316021
156,yaren,-0.5472,166.916,28.19,65,13,3.23,NR,1730316072
157,boryeong,36.3493,126.5977,13.53,71,0,1.55,KR,1730316073
158,utrik,11.2278,169.8474,27.94,79,39,6.18,MH,1730316073
159,whitehorse,60.7161,-135.0538,-3.32,92,100,4.63,CA,1730316075
160,mata-utu,-13.2816,-176.1745,27.33,80,30,5.41,WF,1730316076
161,sao raimundo das mangabeiras,-7.0219,-45.4811,36.13,27,35,3.15,BR,1730316077
